timestamp,hand_detected,gesture_detected,gesture_real,paused,game_over
1763581858.425843,1,RIGHT,RIGHT,0,0
1763581858.451379,1,RIGHT,RIGHT,0,0
1763581858.484003,1,RIGHT,RIGHT,0,0
1763581858.5168147,1,RIGHT,RIGHT,0,0
1763581858.5486796,1,RIGHT,RIGHT,0,0
1763581858.5822608,1,RIGHT,RIGHT,0,0
1763581858.6147714,1,RIGHT,RIGHT,0,0
1763581858.6472669,1,RIGHT,RIGHT,0,0
1763581858.681513,1,RIGHT,RIGHT,0,0
1763581858.7150867,1,RIGHT,RIGHT,0,0
1763581858.7489483,1,RIGHT,RIGHT,0,0
1763581858.7806675,1,RIGHT,RIGHT,0,0
1763581858.8138204,1,RIGHT,RIGHT,0,0
1763581858.847155,1,RIGHT,RIGHT,0,0
1763581858.8806148,1,RIGHT,RIGHT,0,0
1763581858.9139125,1,RIGHT,RIGHT,0,0
1763581858.948,1,RIGHT,RIGHT,0,0
1763581858.9807706,1,RIGHT,RIGHT,0,0
1763581859.01449,1,RIGHT,RIGHT,0,0
1763581859.0477548,1,RIGHT,RIGHT,0,0
1763581859.0801136,1,RIGHT,RIGHT,0,0
1763581859.1124692,1,RIGHT,RIGHT,0,0
1763581859.145585,1,RIGHT,RIGHT,0,0
1763581859.1781583,1,RIGHT,RIGHT,0,0
1763581859.2120733,1,RIGHT,RIGHT,0,0
1763581859.2443979,1,RIGHT,RIGHT,0,0
1763581859.2780328,1,RIGHT,RIGHT,0,0
1763581859.309913,1,RIGHT,RIGHT,0,0
1763581859.343444,1,RIGHT,RIGHT,0,0
1763581859.376749,1,RIGHT,RIGHT,0,0
1763581859.4091654,1,RIGHT,RIGHT,0,0
1763581859.442043,1,RIGHT,RIGHT,0,0
1763581859.4748595,1,RIGHT,RIGHT,0,0
1763581859.5087028,1,RIGHT,RIGHT,0,0
1763581859.540458,1,RIGHT,RIGHT,0,0
1763581859.5748198,1,RIGHT,RIGHT,0,0
1763581859.6071873,1,RIGHT,RIGHT,0,0
1763581859.640714,1,RIGHT,RIGHT,0,0
1763581859.673068,1,RIGHT,RIGHT,0,0
1763581859.706498,1,RIGHT,RIGHT,0,0
1763581859.7396667,1,RIGHT,RIGHT,0,0
1763581859.77162,1,RIGHT,RIGHT,0,0
1763581859.805442,1,RIGHT,RIGHT,0,0
1763581859.8393269,1,RIGHT,RIGHT,0,0
1763581859.8718648,1,RIGHT,RIGHT,0,0
1763581859.9034908,1,RIGHT,RIGHT,0,0
1763581859.936741,1,RIGHT,RIGHT,0,0
1763581859.9697535,1,RIGHT,RIGHT,0,0
1763581860.0035918,1,RIGHT,RIGHT,0,0
1763581860.0357838,1,RIGHT,RIGHT,0,0
1763581860.0687118,1,RIGHT,RIGHT,0,0
1763581860.1012595,1,RIGHT,RIGHT,0,0
1763581860.1357021,1,RIGHT,RIGHT,0,0
1763581860.1681974,1,RIGHT,RIGHT,0,0
1763581860.2029686,1,RIGHT,RIGHT,0,0
1763581860.2350454,1,RIGHT,RIGHT,0,0
1763581860.2685237,1,RIGHT,RIGHT,0,0
1763581860.3021696,1,RIGHT,RIGHT,0,0
1763581860.3347573,1,RIGHT,RIGHT,0,0
1763581860.367384,1,RIGHT,RIGHT,0,0
1763581860.4004364,1,RIGHT,RIGHT,0,0
1763581860.4333537,1,RIGHT,RIGHT,0,0
1763581860.466585,1,RIGHT,RIGHT,0,0
1763581860.4997332,1,RIGHT,RIGHT,0,0
1763581860.5318248,1,RIGHT,RIGHT,0,0
1763581860.563323,1,RIGHT,RIGHT,0,0
1763581860.5970554,1,RIGHT,RIGHT,0,0
1763581860.6307914,1,RIGHT,RIGHT,0,0
1763581860.6626437,1,RIGHT,RIGHT,0,0
1763581860.6968577,1,RIGHT,RIGHT,0,0
1763581860.7299318,1,RIGHT,DOWN,0,0
1763581860.7628598,1,RIGHT,DOWN,0,0
1763581860.795605,1,RIGHT,DOWN,0,0
1763581860.8289316,1,RIGHT,DOWN,0,0
1763581860.8630614,1,RIGHT,DOWN,0,0
1763581860.8952532,1,DOWN,DOWN,0,0
1763581860.9287434,1,DOWN,DOWN,0,0
1763581860.961513,1,DOWN,DOWN,0,0
1763581860.9959946,1,DOWN,DOWN,0,0
1763581861.0301788,1,DOWN,DOWN,0,0
1763581861.0620515,1,DOWN,DOWN,0,0
1763581861.094723,1,DOWN,DOWN,0,0
1763581861.1277988,1,DOWN,DOWN,0,0
1763581861.1608975,1,DOWN,DOWN,0,0
1763581861.1938214,1,DOWN,DOWN,0,0
1763581861.227118,1,DOWN,DOWN,0,0
1763581861.260299,1,DOWN,DOWN,0,0
1763581861.293739,1,DOWN,DOWN,0,0
1763581861.3272026,1,DOWN,DOWN,0,0
1763581861.3606396,1,DOWN,DOWN,0,0
1763581861.3942454,1,DOWN,DOWN,0,0
1763581861.426801,1,DOWN,DOWN,0,0
1763581861.4595294,1,DOWN,DOWN,0,0
1763581861.4937034,1,DOWN,DOWN,0,0
1763581861.5251768,1,DOWN,DOWN,0,0
1763581861.5589314,1,DOWN,DOWN,0,0
1763581861.592428,1,DOWN,DOWN,0,0
1763581861.6251488,1,DOWN,DOWN,0,0
1763581861.6579483,1,DOWN,DOWN,0,0
1763581861.6903281,1,DOWN,DOWN,0,0
1763581861.724335,1,DOWN,DOWN,0,0
1763581861.7580311,1,DOWN,DOWN,0,0
1763581861.7896981,1,DOWN,DOWN,0,0
1763581861.8243072,1,DOWN,DOWN,0,0
1763581861.8585954,1,DOWN,DOWN,0,0
1763581861.8904054,1,DOWN,DOWN,0,0
1763581861.9244993,1,DOWN,DOWN,0,0
1763581861.9570374,1,DOWN,DOWN,0,0
1763581861.990542,1,DOWN,DOWN,0,0
1763581862.0240724,1,DOWN,DOWN,0,0
1763581862.0565803,1,DOWN,DOWN,0,0
1763581862.0894306,1,DOWN,DOWN,0,0
1763581862.1224046,1,DOWN,DOWN,0,0
1763581862.1556113,1,DOWN,DOWN,0,0
