timestamp,hand_detected,gesture_detected,gesture_real,paused,game_over
1764273014.4151006,1,RIGHT,RIGHT,0,0
1764273014.4468029,1,RIGHT,RIGHT,0,0
1764273014.4829905,1,RIGHT,RIGHT,0,0
1764273014.5179863,1,RIGHT,RIGHT,0,0
1764273014.5533922,1,RIGHT,RIGHT,0,0
1764273014.5861163,1,RIGHT,RIGHT,0,0
1764273014.618694,1,RIGHT,RIGHT,0,0
1764273014.6536126,1,RIGHT,RIGHT,0,0
1764273014.6854298,1,RIGHT,RIGHT,0,0
1764273014.7210078,1,RIGHT,RIGHT,0,0
1764273014.7544603,1,RIGHT,RIGHT,0,0
1764273014.7861447,1,RIGHT,RIGHT,0,0
1764273014.8221262,1,RIGHT,RIGHT,0,0
1764273014.85404,1,RIGHT,RIGHT,0,0
1764273014.8907878,1,RIGHT,RIGHT,0,0
1764273014.919592,1,RIGHT,RIGHT,0,0
1764273014.9528115,1,RIGHT,RIGHT,0,0
1764273014.9902039,1,RIGHT,RIGHT,0,0
1764273015.0192096,1,RIGHT,RIGHT,0,0
1764273015.0571878,1,RIGHT,RIGHT,0,0
1764273015.089016,1,RIGHT,RIGHT,0,0
1764273015.1226988,1,RIGHT,RIGHT,0,0
1764273015.1568093,1,RIGHT,RIGHT,0,0
1764273015.190064,1,RIGHT,RIGHT,0,0
1764273015.2244222,1,RIGHT,RIGHT,0,0
1764273015.255602,1,RIGHT,RIGHT,0,0
1764273015.289141,1,RIGHT,RIGHT,0,0
1764273015.3253205,1,RIGHT,RIGHT,0,0
1764273015.3575823,1,RIGHT,RIGHT,0,0
1764273015.3948607,1,RIGHT,RIGHT,0,0
1764273015.4228575,1,RIGHT,RIGHT,0,0
1764273015.4567063,1,RIGHT,RIGHT,0,0
1764273015.4906511,1,RIGHT,RIGHT,0,0
1764273015.5249953,1,RIGHT,RIGHT,0,0
1764273015.56079,1,RIGHT,RIGHT,0,0
1764273015.5905817,1,RIGHT,RIGHT,0,0
1764273015.6245258,1,RIGHT,RIGHT,0,0
1764273015.661958,1,RIGHT,RIGHT,0,0
1764273015.692309,1,RIGHT,RIGHT,0,0
1764273015.729918,1,RIGHT,RIGHT,0,0
1764273015.7589557,1,RIGHT,RIGHT,0,0
1764273015.7941144,1,RIGHT,RIGHT,0,0
1764273015.8303118,1,RIGHT,RIGHT,0,0
1764273015.8595247,1,RIGHT,RIGHT,0,0
1764273015.8948932,1,RIGHT,RIGHT,0,0
1764273015.9268742,1,RIGHT,RIGHT,0,0
1764273015.9621835,1,RIGHT,RIGHT,0,0
1764273015.9945314,1,RIGHT,RIGHT,0,0
1764273016.0271573,1,RIGHT,RIGHT,0,0
1764273016.0678358,1,RIGHT,RIGHT,0,0
1764273016.098073,1,RIGHT,RIGHT,0,0
1764273016.129008,1,RIGHT,RIGHT,0,0
1764273016.16422,1,RIGHT,RIGHT,0,0
1764273016.1951907,1,RIGHT,RIGHT,0,0
1764273016.2321103,1,RIGHT,RIGHT,0,0
1764273016.266665,1,RIGHT,RIGHT,0,0
1764273016.2979016,1,RIGHT,RIGHT,0,0
1764273016.3315284,1,RIGHT,RIGHT,0,0
1764273016.363228,1,RIGHT,RIGHT,0,0
1764273016.4025877,1,RIGHT,RIGHT,0,0
1764273016.4347367,1,RIGHT,RIGHT,0,0
1764273016.4667642,1,RIGHT,RIGHT,0,0
1764273016.5013967,1,RIGHT,RIGHT,0,0
1764273016.53285,1,RIGHT,RIGHT,0,0
1764273016.5711477,1,RIGHT,RIGHT,0,0
1764273016.6015952,1,RIGHT,RIGHT,0,0
1764273016.6326787,1,RIGHT,RIGHT,0,0
1764273016.6688807,1,RIGHT,RIGHT,0,0
1764273016.7022834,1,RIGHT,RIGHT,0,0
1764273016.7365098,1,RIGHT,RIGHT,0,0
1764273016.7691963,1,RIGHT,RIGHT,0,0
1764273016.8011088,1,RIGHT,RIGHT,0,0
1764273016.835983,1,RIGHT,RIGHT,0,0
1764273016.8703809,1,RIGHT,RIGHT,0,0
1764273016.9042723,1,RIGHT,RIGHT,0,0
1764273016.9382982,1,RIGHT,RIGHT,0,0
1764273016.9694335,1,RIGHT,RIGHT,0,0
1764273017.0051074,1,RIGHT,RIGHT,0,0
1764273017.038719,1,RIGHT,RIGHT,0,0
1764273017.0729585,1,RIGHT,RIGHT,0,0
1764273017.1066368,1,RIGHT,RIGHT,0,0
1764273017.1375792,1,RIGHT,RIGHT,0,0
1764273017.172182,1,RIGHT,RIGHT,0,0
1764273017.2044659,1,RIGHT,RIGHT,0,0
1764273017.2411494,1,RIGHT,RIGHT,0,0
1764273017.2752805,1,RIGHT,RIGHT,0,0
1764273017.303873,1,RIGHT,RIGHT,0,0
1764273017.3411608,1,RIGHT,RIGHT,0,0
1764273017.3734837,1,RIGHT,RIGHT,0,0
1764273017.4089508,1,RIGHT,RIGHT,0,0
1764273017.439322,1,RIGHT,RIGHT,0,0
1764273017.473431,1,RIGHT,RIGHT,0,0
1764273017.5095751,1,RIGHT,RIGHT,0,0
1764273017.541933,1,RIGHT,RIGHT,0,0
1764273017.5786688,1,RIGHT,RIGHT,0,0
1764273017.6089213,1,RIGHT,RIGHT,0,0
1764273017.6396987,1,RIGHT,RIGHT,0,0
1764273017.6777005,1,RIGHT,RIGHT,0,0
1764273017.708593,1,RIGHT,RIGHT,0,0
1764273017.7447178,1,RIGHT,RIGHT,0,0
1764273017.776782,1,RIGHT,RIGHT,0,0
1764273017.807918,1,RIGHT,RIGHT,0,0
1764273017.8462512,1,RIGHT,RIGHT,0,0
1764273017.876341,1,RIGHT,RIGHT,0,0
1764273017.9119601,1,RIGHT,RIGHT,0,0
1764273017.942646,1,RIGHT,RIGHT,0,0
1764273017.9775538,1,RIGHT,RIGHT,0,0
1764273018.0139127,1,RIGHT,RIGHT,0,0
1764273018.0451195,1,RIGHT,RIGHT,0,0
1764273018.0830908,1,RIGHT,RIGHT,0,0
1764273018.1131532,1,RIGHT,RIGHT,0,0
1764273018.142356,1,RIGHT,RIGHT,0,0
1764273018.18308,1,RIGHT,RIGHT,0,0
1764273018.2142065,1,RIGHT,RIGHT,0,0
1764273018.2500248,1,RIGHT,RIGHT,0,0
1764273018.2783601,1,RIGHT,RIGHT,0,0
1764273018.3136137,1,RIGHT,RIGHT,0,0
1764273018.3499672,1,RIGHT,RIGHT,0,0
1764273018.3821259,1,RIGHT,RIGHT,0,0
1764273018.4171906,1,RIGHT,RIGHT,0,0
1764273018.4478183,1,RIGHT,RIGHT,0,0
1764273018.4793031,1,RIGHT,RIGHT,0,0
1764273018.5174735,1,RIGHT,RIGHT,0,0
1764273018.5496068,1,RIGHT,RIGHT,0,0
1764273018.586026,1,RIGHT,RIGHT,0,0
1764273018.6188622,1,RIGHT,RIGHT,0,0
1764273018.6502047,1,RIGHT,RIGHT,0,0
1764273018.6866267,1,RIGHT,RIGHT,0,0
1764273018.7186506,1,RIGHT,RIGHT,0,0
1764273018.7532616,1,RIGHT,RIGHT,0,0
1764273018.786918,1,RIGHT,RIGHT,0,0
