timestamp,hand_detected,gesture_detected,gesture_real,paused,game_over
1764273876.237969,1,RIGHT,RIGHT,0,0
1764273876.2538886,1,RIGHT,RIGHT,0,0
1764273876.2858312,1,RIGHT,RIGHT,0,0
1764273876.3200657,1,RIGHT,RIGHT,0,0
1764273876.3539343,1,RIGHT,RIGHT,0,0
1764273876.3859315,1,RIGHT,RIGHT,0,0
1764273876.418987,1,RIGHT,RIGHT,0,0
1764273876.4520411,1,RIGHT,RIGHT,0,0
1764273876.4859972,1,RIGHT,RIGHT,0,0
1764273876.5188854,1,RIGHT,RIGHT,0,0
1764273876.5512853,1,RIGHT,RIGHT,0,0
1764273876.5854404,1,RIGHT,RIGHT,0,0
1764273876.6183465,1,RIGHT,RIGHT,0,0
1764273876.6508486,1,RIGHT,RIGHT,0,0
1764273876.686664,1,RIGHT,RIGHT,0,0
1764273876.7177513,1,RIGHT,RIGHT,0,0
1764273876.751184,1,RIGHT,RIGHT,0,0
1764273876.7860434,1,RIGHT,RIGHT,0,0
1764273876.8170347,1,RIGHT,RIGHT,0,0
1764273876.849969,1,RIGHT,RIGHT,0,0
1764273876.8840733,1,RIGHT,RIGHT,0,0
1764273876.9170187,1,RIGHT,RIGHT,0,0
1764273876.9492235,1,RIGHT,RIGHT,0,0
1764273876.9827702,1,RIGHT,RIGHT,0,0
1764273877.0153923,1,RIGHT,RIGHT,0,0
1764273877.0485003,1,RIGHT,RIGHT,0,0
1764273877.0805707,1,RIGHT,RIGHT,0,0
1764273877.114215,1,RIGHT,RIGHT,0,0
1764273877.146791,1,RIGHT,RIGHT,0,0
1764273877.1814587,1,RIGHT,RIGHT,0,0
1764273877.2154367,1,RIGHT,RIGHT,0,0
1764273877.2503755,1,RIGHT,RIGHT,0,0
1764273877.2837603,1,RIGHT,RIGHT,0,0
1764273877.3165972,1,RIGHT,RIGHT,0,0
1764273877.3489647,1,RIGHT,RIGHT,0,0
1764273877.3827374,1,RIGHT,RIGHT,0,0
1764273877.4150035,1,RIGHT,RIGHT,0,0
1764273877.4490879,1,RIGHT,RIGHT,0,0
1764273877.481083,1,RIGHT,RIGHT,0,0
1764273877.5141847,1,RIGHT,RIGHT,0,0
1764273877.5482633,1,RIGHT,RIGHT,0,0
1764273877.5802617,1,RIGHT,RIGHT,0,0
1764273877.6133897,1,RIGHT,RIGHT,0,0
1764273877.648427,1,RIGHT,RIGHT,0,0
1764273877.6814659,1,RIGHT,RIGHT,0,0
1764273877.7166529,1,RIGHT,RIGHT,0,0
1764273877.7494183,1,RIGHT,RIGHT,0,0
1764273877.7827919,1,RIGHT,RIGHT,0,0
1764273877.815837,1,RIGHT,RIGHT,0,0
1764273877.8493006,1,RIGHT,RIGHT,0,0
1764273877.883087,1,RIGHT,RIGHT,0,0
1764273877.915948,1,RIGHT,RIGHT,0,0
1764273877.9483,1,RIGHT,RIGHT,0,0
1764273877.9810624,1,RIGHT,RIGHT,0,0
1764273878.0170503,1,RIGHT,RIGHT,0,0
1764273878.0485723,1,RIGHT,RIGHT,0,0
1764273878.0822816,1,RIGHT,RIGHT,0,0
1764273878.1148682,1,RIGHT,RIGHT,0,0
1764273878.1495888,1,RIGHT,RIGHT,0,0
1764273878.180743,1,RIGHT,RIGHT,0,0
1764273878.2146158,1,RIGHT,RIGHT,0,0
1764273878.2486038,1,RIGHT,RIGHT,0,0
1764273878.28159,1,RIGHT,RIGHT,0,0
1764273878.3138828,1,RIGHT,RIGHT,0,0
1764273878.3466234,1,RIGHT,RIGHT,0,0
1764273878.3800704,1,RIGHT,RIGHT,0,0
1764273878.4138436,1,RIGHT,RIGHT,0,0
1764273878.447268,1,RIGHT,RIGHT,0,0
1764273878.4809873,1,RIGHT,RIGHT,0,0
1764273878.5149786,1,RIGHT,RIGHT,0,0
1764273878.548323,1,RIGHT,RIGHT,0,0
1764273878.5811613,1,RIGHT,RIGHT,0,0
1764273878.6126845,1,RIGHT,RIGHT,0,0
1764273878.6454551,1,RIGHT,RIGHT,0,0
1764273878.6787367,1,RIGHT,RIGHT,0,0
1764273878.715844,1,RIGHT,RIGHT,0,0
1764273878.7455454,1,RIGHT,RIGHT,0,0
1764273878.7789164,1,RIGHT,RIGHT,0,0
1764273878.8116212,1,RIGHT,RIGHT,0,0
1764273878.8447158,1,RIGHT,RIGHT,0,0
1764273878.878367,1,RIGHT,RIGHT,0,0
1764273878.9108741,1,RIGHT,RIGHT,0,0
1764273878.9437594,1,RIGHT,RIGHT,0,0
1764273878.977576,1,RIGHT,RIGHT,0,0
1764273879.0096846,1,RIGHT,RIGHT,0,0
1764273879.0428193,1,RIGHT,RIGHT,0,0
1764273879.076683,1,RIGHT,RIGHT,0,0
1764273879.108698,1,RIGHT,RIGHT,0,0
1764273879.142095,1,RIGHT,RIGHT,0,0
1764273879.1763206,1,RIGHT,RIGHT,0,0
1764273879.2083344,1,RIGHT,RIGHT,0,0
1764273879.2443454,1,RIGHT,RIGHT,0,0
1764273879.276335,1,RIGHT,RIGHT,0,0
1764273879.3106103,1,RIGHT,RIGHT,0,0
1764273879.343753,1,RIGHT,RIGHT,0,0
1764273879.3777454,1,RIGHT,RIGHT,0,0
1764273879.408798,1,RIGHT,RIGHT,0,0
1764273879.4438868,1,RIGHT,RIGHT,0,0
1764273879.4771438,1,RIGHT,RIGHT,0,0
1764273879.5102375,1,RIGHT,RIGHT,0,0
1764273879.5442626,1,RIGHT,RIGHT,0,0
1764273879.5782716,1,RIGHT,RIGHT,0,0
