timestamp,hand_detected,gesture_detected,gesture_real,paused,game_over
1763669701.1006572,1,RIGHT,RIGHT,0,0
1763669701.1262696,1,RIGHT,RIGHT,0,0
1763669701.158169,1,RIGHT,RIGHT,0,0
1763669701.1913419,1,RIGHT,RIGHT,0,0
1763669701.2245502,1,RIGHT,RIGHT,0,0
1763669701.2574964,1,RIGHT,RIGHT,0,0
1763669701.2906992,1,RIGHT,RIGHT,0,0
1763669701.324171,1,RIGHT,RIGHT,0,0
1763669701.3565276,1,RIGHT,RIGHT,0,0
1763669701.3899138,1,RIGHT,RIGHT,0,0
1763669701.4238672,1,RIGHT,RIGHT,0,0
1763669701.4566755,1,RIGHT,RIGHT,0,0
1763669701.4891577,1,RIGHT,RIGHT,0,0
1763669701.5213695,1,RIGHT,RIGHT,0,0
1763669701.5555577,1,RIGHT,RIGHT,0,0
1763669701.5881486,1,RIGHT,RIGHT,0,0
1763669701.6214588,1,RIGHT,RIGHT,0,0
1763669701.653896,1,RIGHT,RIGHT,0,0
1763669701.6864748,1,RIGHT,RIGHT,0,0
1763669701.7195954,1,RIGHT,RIGHT,0,0
1763669701.7533722,1,RIGHT,RIGHT,0,0
1763669701.7867174,1,RIGHT,RIGHT,0,0
1763669701.820176,1,RIGHT,RIGHT,0,0
1763669701.8530805,1,RIGHT,RIGHT,0,0
1763669701.887848,1,RIGHT,RIGHT,0,0
1763669701.9209428,1,RIGHT,RIGHT,0,0
1763669701.95451,1,RIGHT,RIGHT,0,0
1763669701.986587,1,RIGHT,RIGHT,0,0
1763669702.019506,1,RIGHT,RIGHT,0,0
1763669702.0536358,1,RIGHT,RIGHT,0,0
1763669702.0856733,1,RIGHT,RIGHT,0,0
1763669702.1193159,1,RIGHT,RIGHT,0,0
1763669702.1515033,1,RIGHT,RIGHT,0,0
1763669702.183676,1,RIGHT,RIGHT,0,0
1763669702.2169,1,RIGHT,RIGHT,0,0
1763669702.2505436,1,RIGHT,RIGHT,0,0
1763669702.2828727,1,RIGHT,RIGHT,0,0
1763669702.3154743,1,RIGHT,RIGHT,0,0
1763669702.3484209,1,RIGHT,RIGHT,0,0
1763669702.381723,1,RIGHT,RIGHT,0,0
1763669702.414928,1,RIGHT,RIGHT,0,0
1763669702.4484632,1,RIGHT,RIGHT,0,0
1763669702.483314,1,RIGHT,RIGHT,0,0
1763669702.515056,1,RIGHT,RIGHT,0,0
1763669702.5487292,1,RIGHT,RIGHT,0,0
1763669702.581337,1,RIGHT,RIGHT,0,0
1763669702.6133063,1,RIGHT,RIGHT,0,0
1763669702.6463156,1,RIGHT,RIGHT,0,0
1763669702.6790965,1,RIGHT,RIGHT,0,0
1763669702.7131367,1,RIGHT,RIGHT,0,0
1763669702.74671,1,RIGHT,RIGHT,0,0
1763669702.7811506,1,RIGHT,RIGHT,0,0
1763669702.8150196,1,RIGHT,RIGHT,0,0
1763669702.848983,1,RIGHT,RIGHT,0,0
1763669702.8829565,1,RIGHT,RIGHT,0,0
1763669702.9155948,1,RIGHT,RIGHT,0,0
1763669702.9486609,1,RIGHT,RIGHT,0,0
1763669702.9815948,1,RIGHT,RIGHT,0,0
1763669703.014206,1,RIGHT,RIGHT,0,0
1763669703.0471373,1,RIGHT,RIGHT,0,0
1763669703.0809166,1,RIGHT,RIGHT,0,0
1763669703.1137683,1,RIGHT,RIGHT,0,0
1763669703.14775,1,RIGHT,RIGHT,0,0
1763669703.1794825,1,RIGHT,RIGHT,0,0
1763669703.212719,1,RIGHT,RIGHT,0,0
1763669703.245592,1,RIGHT,RIGHT,0,0
1763669703.2790425,1,RIGHT,RIGHT,0,0
1763669703.3125343,1,RIGHT,RIGHT,0,0
1763669703.3460312,1,RIGHT,RIGHT,0,0
1763669703.3778741,1,RIGHT,RIGHT,0,0
1763669703.4110203,1,RIGHT,RIGHT,0,0
1763669703.444742,1,RIGHT,RIGHT,0,0
1763669703.4781625,1,RIGHT,RIGHT,0,0
1763669703.510963,1,RIGHT,RIGHT,0,0
1763669703.5454645,1,RIGHT,RIGHT,0,0
1763669703.5767229,1,RIGHT,RIGHT,0,0
1763669703.610587,1,RIGHT,RIGHT,0,0
1763669703.6440907,1,RIGHT,RIGHT,0,0
1763669703.6780138,1,RIGHT,RIGHT,0,0
1763669703.711586,1,RIGHT,RIGHT,0,0
1763669703.7434254,1,RIGHT,RIGHT,0,0
1763669703.7775056,1,RIGHT,RIGHT,0,0
1763669703.8107588,1,RIGHT,RIGHT,0,0
1763669703.8436675,1,RIGHT,RIGHT,0,0
1763669703.8776,1,RIGHT,RIGHT,0,0
1763669703.9101303,1,RIGHT,RIGHT,0,0
1763669703.9429233,1,RIGHT,RIGHT,0,0
1763669703.9780455,1,RIGHT,RIGHT,0,0
1763669704.0117779,1,RIGHT,RIGHT,0,0
1763669704.044971,1,RIGHT,RIGHT,0,0
